MLSID,Address,Subdivision,Price,SqFt,Bedrooms,BathsFull,BathsHalf,DaysOnMarket,Agent,Firm
N126655S,200 WOODWARD WAY,MIMMS TRAIL,354430,3035,5,3,0,0,A68,F177 
N116674S,833 WHITTINGTON STREET,COTSWOLDS,354185,4290,5,3,1,1,A84,F155 
R126557S,4135 CREEKWATER  CROSSING,PARKERSON'S MILL,354000,3042,4,3,1,34,A16,F360 
N114538S,1195 SOUTHRIDGE COURT,CYPRESS POINT,354000,2880,4,3,1,238,A59,F360 
R120691S,1753 HYDEN PARK LANE,CAMDEN RIDGE,352000,2615,5,3,0,51,A85,F155 
N117344S,2191 COLUMBIA DRIVE,ASHETON LAKES,350318,2503,4,3,0,69,A48,F155 
R120686S,2219 BARKLEY CREST LANE,BARKLEY CREST,350000,2877,4,3,1,117,A8,F96 
R120973S,702 BANBURY STREET,COTSWOLDS,349180,3903,5,3,1,62,A86,F278 
R124121S,146 GRAZIA WAY,TIVOLI,348920,2873,5,3,0,151,A11,F177 
R119403S,4156 CREEKVIEW COURT,PARKERSON'S MILL,348765,3007,4,3,1,0,A87,F438 
N119137S,2704 BRIGHTON LANE,MIMMS TRAIL,348500,2604,4,3,1,171,A53,F96 
R117698S,518 BRENTON   CROSSING,ASHETON PARK,348000,2716,5,3,0,36,A28,F177 
N120571S,1281 SOUTHRIDGE COURT,CYPRESS POINT,347000,3065,4,3,0,106,A41,F360 
R116962S,574 Heywood STREET,COTSWOLDS,346500,3738,6,4,0,31,A88,F52 
T117760S,1883 ELLINGTON WAY,VILLAGE AT ASHETON LANE,345900,2400,3,2,1,41,A14,F96 
C117596S,1794 COVINGTON RIDGE,DEVONSHIRE,345000,2500,4,3,1,9,A8,F96 
N126664S,2723 MIMMS LANE,MIMMS TRAIL,344015,3231,5,3,0,0,A68,F177 
N115288S,1980 SEQUOIA DRIVE,PRESERVE,343284,2561,4,3,1,2,A53,F96 
R117645S,1943 WATERCREST DRIVE,ASHETON PARK,342500,2684,4,3,0,18,A29,F177 
N119090S,1246 SOUTHRIDGE COURT,CYPRESS POINT,341817,2880,4,2,1,137,A41,F360 
R117518S,1324 SOUTHRIDGE COURT,CYPRESS POINT,341000,3555,5,3,1,42,A89,F177 
R120645S,418 CARY DRIVE,CARY PARK,340000,2361,3,3,0,1,A90,F155 
R117826S,1240 HICKORY LANE,CARY WOODS,340000,3020,3,3,0,36,A42,F516 
N116817S,2710 MIMMS LANE,MIMMS TRAIL,340000,3035,5,3,0,45,A68,F177 
N116816S,2706 MIMMS LANE,MIMMS TRAIL,340000,3090,4,3,0,133,A68,F177 
N121164S,1876 MOYLE LANE,MORGAN WOODS,339900,3048,5,3,1,1,A91,F529 
O119087S,147 DEBARDELEBEN,THE LEX,339900,1369,3,3,0,7,A92,F278 
N114060S,2228 MORGAN DRIVE,MORGAN WOODS,339900,2735,5,3,1,139,A93,F177 
N120568S,2702 MIMMS LANE,MIMMS TRAIL,339429,2527,4,3,0,125,A68,F177 
R117297S,1818 Hillbrook CIRCLE,HILLBROOK,339000,3037,5,3,1,9,A88,F52 
N134892S,1696 W OVERHILL COURT,THE MEADOW AT HIGHLANDS,339000,2350,4,3,0,142,A8,F96 
N121209S,2725 BRIGHTON LANE,MIMMS TRAIL,338295,2307,4,3,0,0,A53,F96 
R122820S,119 LAUREL DRIVE,CARY WOODS,337500,2695,3,2,1,7,A94,F52 
R114912S,1235 BURKE COURT,BURKE PLACE,337500,3410,4,3,1,156,A9,F155 
N115217S,4132 CREEKWATER  CROSSING,PARKERSON'S MILL,337400,3042,4,3,0,150,A16,F360 
N116905S,2250 N Donahue DRIVE,OAK GROVE AT HIGHLANDS,336832,3147,5,3,0,248,A95,F360 
T123981S,139 PRATHERS LAKE DRIVE,THE WOODS AT PRATHERS LAKE,336200,2959,4,3,0,47,A12,F177 
N119135S,156 GRAZIA WAY,TIVOLI,335800,2873,5,4,0,89,A11,F177 
R118980S,311 CORKTREE CIRCLE,CLOVER LEAF,335500,2715,4,3,0,71,A96,F407 
N122785S,130 CAROLINA COURT,CHARLESTON PLACE,335215,0,3,2,1,231,A97,F360 
N115518S,4133 CREEKVIEW COURT,PARKERSON'S MILL,335000,2600,4,2,1,99,A16,F360 
R121028S,1342 SOUTHRIDGE COURT,CYPRESS POINT,335000,2620,4,3,1,120,A63,F312 
N125242S,675 KINGS WAY,CHARLESTON PLACE,333839,2273,3,2,1,213,A97,F360 
N122627S,2591 MIMMS LANE,MIMMS TRAIL,333565,2475,4,2,1,78,A44,F476 
N115089S,215 WESTOVER STREET,MIMMS TRAIL,333000,2531,5,3,1,133,A53,F96 
R116589S,855 TERRACE ACRES,TERRACE ACRES,333000,3720,6,4,0,179,A98,F278 
N120575S,294 QUARRY PLACE,STONEWOOD FARM,331864,3910,4,3,1,27,A99,F96 
N125243S,106 CAROLINA COURT,CHARLESTON PLACE,331468,2342,4,3,0,211,A97,F360 
R117710S,677 SHERWOOD STREET,HEARD,331000,2450,4,3,0,0,A100,F360 
N119002S,1288 SOUTHRIDGE COURT,CYPRESS POINT,330086,2330,4,3,0,239,A59,F360 
R121176S,1510 PIEDMONT DRIVE,CAMDEN RIDGE,330000,2554,4,3,0,11,A101,F132 
R121060S,759 E SAMFORD AVENUE,HIGHLAND,330000,1639,3,2,0,20,A102,F474 
N116935S,2566 MIMMS LANE,MIMMS TRAIL,330000,2650,4,3,1,57,A44,F476 
R117085S,244 TALLYHO DRIVE,WOODLAND PARK,330000,3400,5,3,0,118,A7,F177 
R122357S,1265 INGLESIDE DRIVES,GROVE HILL,330000,2487,4,3,0,120,A67,F320 
N117890S,427 PARKERSON'S WAY,PARKERSON'S MILL,329900,3166,4,3,1,13,A39,F360 
N117507S,141 GRAZIA WAY,TIVOLI,329900,2873,5,4,0,72,A11,F177 
N117237S,133 Grazia WAY,TIVOLI,329900,2883,4,3,1,100,A11,F177 
N119272S,1771 KENAI  PASS,SOLAMERE PHASE 3,329900,2999,5,3,1,129,A23,F177 
R121130S,1273 SHADOWWOOD LANE,SHADOW WOOD ESTATES,329900,3147,5,3,0,204,A24,F177 
C120947S,145 E MAGNOLIA AVENUE,MAGNOLIA PLAZA,329000,1233,2,2,0,6,A103,F508 
R122360S,1648 WOODLEY CIRCLE,MILLWOOD COTTAGES,329000,1932,3,2,0,21,A24,F177 
R117912S,4174 CREEKWATER  CROSSING,PARKERSON'S MILL,329000,2836,4,3,1,25,A16,F360 
N117501S,209 HICKORYWOODS DRIVE,HICKORY WOODS,326050,2230,4,3,0,20,A8,F96 
R118934S,353 JOCKISH STREET,GLEN HAVEN,325900,3476,4,4,0,45,A75,F177 
R122526S,2574 MIMMS LANE,MIMMS TRAIL,325000,2300,4,3,0,6,A57,F177 
C117588S,277 S GAY STREET,EAGLES NEST CONDOS,325000,1170,2,2,1,11,A24,F177 
R119407S,2042 MOHICAN DRIVE,PRESERVE,325000,2568,4,3,1,132,A104,F177 
N121190S,2304 TUSCANY PLACE,TIVOLI,325000,2356,4,3,0,144,A11,F177 
N117861S,2709 BRIGHTON LANE,MIMMS TRAIL,324900,2319,4,3,0,90,A53,F96 
R117361S,330 S CARY DRIVE,CARY PARK,324000,2398,3,2,1,2,A14,F96 
N121172S,995 W RICHLAND CIRCLE,WEST RICHLAND,323718,3324,5,4,0,7,A91,F529 
N117320S,2428 MIMMS LANE,MIMMS TRAIL,323576,2725,4,3,0,95,A29,F177 
R119462S,2225 BARKLEY CREST LANE,BARKLEY CREST,323000,2686,4,3,0,15,A24,F177 
R121005S,2209 N DONAHUE DRIVE,OAK GROVE AT HIGHLANDS,322000,2758,4,3,1,46,A69,F360 
N115559S,2352 MIMMS LANE,MIMMS TRAIL,320800,2300,4,3,0,47,A105,F312 
N116903S,2238 N Donahue DRIVE,OAK GROVE AT HIGHLANDS,320120,2830,5,3,0,78,A95,F360 
C125203S,140 N COLLEGE STREET,RESIDENCE,320000,940,2,2,0,4,A31,F96 
R122297S,263 SAINT JAMES COURT,WRIGHTS MILL ESTATES,320000,2572,4,2,1,24,A24,F177 
R120880S,1724 PHILMORE COURT,CAMDEN RIDGE,320000,2505,4,3,0,25,A24,F177 
R121200S,2121 STONEHAVEN DRIVE,PRESERVE,320000,2390,4,2,1,74,A24,F177 
R114700S,369 PAYNE STREET,SAMFORD,320000,2774,5,2,0,187,A3,F278 
R115136S,238 ASHETON LANE,ASHETON PARK,320000,2703,4,2,1,215,A15,F516 
N121191S,124 GRAZIA WAY,TIVOLI,319900,2591,4,3,1,56,A11,F177 
N114443S,4140 CREEKWATER  CROSSING,PARKERSON'S MILL,319900,2820,4,3,1,280,A39,F360 
N119250S,203 HICKORYWOODS DRIVE,HICKORY WOODS,319675,2176,4,3,0,224,A8,F96 
N117117S,2404 MIMMS LANE,MIMMS TRAIL,319000,2350,4,3,0,0,A63,F312 
N117304S,2368 MIMMS LANE,MIMMS TRAIL,319000,2552,5,3,0,51,A44,F476 
N122720S,1183 SOUTHRIDGE COURT,CYPRESS POINT,318930,2330,4,3,0,0,A59,F360 
R122301S,2578 MIMMS LANE,MIMMS TRAIL,318000,2218,3,2,1,26,A17,F0 
P122678S,947 FALCONER DRIVE,PARC AT UNIVERSITY CLUB,317935,2583,4,3,0,0,A49,F177 
N120961S,1270 SOUTHRIDGE COURT,CYPRESS POINT,317710,2344,4,3,0,244,A59,F360 
N119199S,222 FLAGSTONE PLACE,STONEWOOD FARM,316900,2770,4,3,0,208,A35,F360 
R121198S,2248 VINCENTE DRIVE,TIVOLI,316500,2435,4,3,0,33,A4,F312 
P115290S,2241 N DONAHUE DRIVE,OAK GROVE AT HIGHLANDS,316400,2758,4,3,1,48,A95,F360 
N117490S,2376 MIMMS LANE,MIMMS TRAIL,316000,2692,5,3,0,70,A56,F177 
R115476S,735 Burke PLACE,BURKE PLACE,316000,2697,4,2,1,106,A48,F155 
N117508S,137 GRAZIA WAY,TIVOLI,315900,2590,5,3,1,134,A11,F177 
R120727S,270 FONTAINE DRIVE,WOODFIELD,315000,2883,4,3,0,0,A17,F0 
R117705S,1211 OLD MILL ROAD,GLEN HAVEN,315000,2762,4,2,1,5,A24,F177 
N122807S,2435 MIMMS LANE,MIMMS TRAIL,314900,2185,3,2,1,48,A47,F406 
R124061S,172 SOLAMERE LANE,SOLAMERE,314900,2725,5,2,1,56,A23,F177 
N116941S,957 FALCONER DRIVE,PARC AT UNIVERSITY CLUB,313984,2597,4,3,0,132,A49,F177 
N114571S,1796 HYDEN PARK LANE,CAMDEN RIDGE,313765,2451,4,3,0,171,A29,F177 
R119026S,102 N RYAN STREET,YARBROUGH SPRINGS,313000,3053,5,3,0,35,A21,F516 
N120943S,121 GRAZIA WAY,TIVOLI,313000,2356,4,3,0,134,A11,F177 
N115348S,2201 CONSERVATION DRIVE,PRESERVE,312671,2707,4,3,0,89,A99,F96 
R117633S,2542 SALFORD STREET,COTSWOLDS,312500,3300,5,3,1,6,A23,F177 
T116976S,1382 LAKESHORE LANE,THE WOODS AT PRATHERS LAKE,312500,2700,4,3,0,235,A9,F155 
N120726S,Lot 12 W RICHLAND CIRCLE,WEST RICHLAND,312400,3130,5,3,0,0,A91,F529 
R117792S,1215 NORMAN ROAD,GLEN HAVEN,312400,3984,4,2,1,33,A36,F19 
C119442S,730 W MAGNOLIA AVENUE,EDGE WEST CONDOMINIUMS,312250,1400,4,4,0,0,A106,F372 
C122573S,1794 COVINGTON RIDGE,DEVONSHIRE,312000,2222,3,2,1,27,A7,F177 
N122569S,313 YUKON DRIVE,SOLAMERE PHASE 3,311900,2830,4,3,1,34,A23,F177 
N112944S,2260 MONTIANO LANE,TIVOLI MILAN,311600,2884,5,4,0,337,A11,F177 
P116970S,1736 EASTON COURT,EAST LAKE,311522,2868,4,3,1,1,A7,F177 
N117533S,160 GRAZIA WAY,TIVOLI,311500,2356,4,3,0,207,A11,F177 
N120640S,830 W RICHLAND CIRCLE,WEST RICHLAND,310900,2970,4,3,1,64,A91,F529 
N122718S,1287 SOUTHRIDGE COURT,CYPRESS POINT,310055,2330,4,3,0,206,A59,F360 
C120960S,730 W MAGNOLIA AVENUE,EDGE WEST CONDOMINIUMS,310000,1404,4,4,0,4,A23,F177 
N119160S,823 W RICHLAND CIRCLE,WEST RICHLAND,310000,3130,5,3,0,46,A91,F529 
N119062S,814 W RICHLAND CIRCLE,WEST RICHLAND,310000,3130,5,3,0,59,A91,F529 
C117675S,145 E MAGNOLIA AVENUE,MAGNOLIA PLAZA,310000,1233,2,2,0,108,A24,F177 
N120786S,Lot 101 W RICHLAND CIRCLE,WEST RICHLAND,309900,3130,5,3,0,59,A91,F529 
R120614S,696 BELMONTE DRIVE,MILL CREEK,309000,3150,5,3,0,38,A4,F312 
N117236S,149 Grazia WAY,TIVOLI,309000,2356,4,3,0,124,A11,F177 
N116647S,2185 RED TAIL LANE,PRESERVE,307651,2288,4,3,0,1,A53,F96 
N116990S,1730 EASTON COURT,AUBURN,307641,2868,4,3,1,0,A7,F177 
P117931S,917 FALCONER DRIVE,PARC AT UNIVERSITY CLUB,307428,2583,4,3,0,0,A49,F177 
N120921S,2713 BRIGHTON LANE,MIMMS TRAIL,307000,2261,4,2,1,116,A53,F96 
R117347S,1940 Talcott COURT,CAMDEN RIDGE,306000,2637,4,4,0,25,A107,F394 
N115044S,2039 MOHICAN DRIVE,PRESERVE,305667,2319,4,3,0,85,A53,F96 
N116735S,424 PARKERSON'S WAY,PARKERSON'S MILL,305000,2600,4,3,1,86,A108,F360 
R116936S,1725 Roanoke LANE,CAMDEN RIDGE,305000,2507,4,3,0,87,A109,F439 
N119010S,802 W RICHLAND CIRCLE,WEST RICHLAND,304900,2970,4,3,1,47,A91,F529 
R119121S,300 BIBB AVENUE,PICKWOOD,304500,2393,4,2,1,64,A110,F360 
N114019S,176 GRAZIA WAY,TIVOLI,304000,2573,4,3,0,223,A11,F177 
N117160S,317 Yukon DRIVE,SOLAMERE PHASE 3,303900,2853,5,3,1,84,A23,F177 
C119445S,730 W MAGNOLIA AVENUE,EDGE WEST CONDOMINIUMS,303500,1400,4,4,0,0,A106,F372 
N122565S,679 KINGS WAY,CHARLESTON PLACE,303454,2199,4,3,0,0,A97,F360 
R117306S,1249 SHADOWWOOD LANE,SHADOW WOOD ESTATES,303000,2546,4,2,1,46,A24,F177 
R122899S,734 QUEENS WAY,CHARLESTON PLACE,302500,2760,5,3,1,56,A111,F177 
N116931S,2395 MIMMS LANE,MIMMS TRAIL,302400,2137,4,2,0,161,A8,F96 
N120985S,2383 MIMMS LANE,MIMMS TRAIL,302100,2350,4,3,0,116,A8,F96 
R117470S,601 AUBURN DRIVE,PINEVIEW,302000,1790,3,2,0,4,A40,F516 
N114991S,2407 MIMMS LANE,MIMMS TRAIL,302000,2211,5,3,0,228,A8,F96 
R117805S,1765 WOODLEY ROAD,MOORES MILL,301000,2228,3,3,0,7,A8,F96 
N114444S,415 PARKERSON'S WAY,PARKERSON'S MILL,300900,2667,4,3,0,250,A39,F360 
N134893S,1716 W OVERHILL COURT,THE MEADOW AT HIGHLANDS,300250,2350,4,3,0,145,A8,F96 
C122207S,730 W MAGNOLIA AVENUE,EDGE WEST CONDOMINIUMS,300000,1404,4,4,0,6,A23,F177 
R122548S,1257 N COLLEGE STREET,KEEL,300000,2329,4,2,0,8,A112,F360 
R119080S,2011 JANABROOKE LANE,WRIGHTS MILL ESTATES,300000,2400,4,3,0,63,A67,F320 
R121156S,182 VALENTINO COURT,TIVOLI,300000,2627,4,3,0,89,A113,F177 
N120984S,2371 MIMMS LANE,MIMMS TRAIL,300000,2327,4,3,0,106,A8,F96 
R117902S,1754 ROANOKE LANE,CAMDEN RIDGE,300000,2824,4,3,1,157,A29,F177 
R122812S,461 BELMONTE DRIVE,MILL CREEK,299901,2735,4,3,0,28,A28,F177 
N119410S,809 RICHLAND CIRCLE,WEST RICHLAND,299900,2970,4,4,1,24,A91,F529 
N117506S,145 GRAZIA WAY,TIVOLI,299900,2356,4,3,0,108,A11,F177 
N115295S,1787 KENAI  PASS,SOLAMERE PHASE 3,299900,2930,4,3,1,113,A23,F177 
N117534S,168 GRAZIA WAY,TIVOLI,299900,2356,4,3,0,114,A11,F177 
N115291S,2210 N DONAHUE DRIVE,OAK GROVE AT HIGHLANDS,299500,2524,4,2,1,137,A95,F360 
T117858S,1753 BROOKVIEW COURT,MOORES MILL TOWNHOMES,299000,1840,3,2,0,91,A114,F360 
N116901S,2242 N DONAHUE DRIVE,OAK GROVE AT HIGHLANDS,298360,2355,4,2,1,25,A95,F360 
S122234S,2320 PAM CIRCLE,MIMMS TRAIL,298250,2269,3,3,1,39,A115,F312 
R119456S,734 QUEENS WAY,CHARLESTON PLACE,298000,2760,5,3,1,14,A24,F177 
R117754S,2298 VINCENTE DRIVE,TIVOLI,297500,2991,4,3,0,240,A92,F278 
N116641S,2659 SALFORD STREET,COTSWOLDS,297499,3226,4,3,1,72,A81,F155 
R120586S,1964 SEQUOIA DRIVE,PRESERVE,297000,2448,4,2,1,11,A116,F177 
R122218S,1729 PHILMORE COURT,CAMDEN RIDGE,295800,2390,4,2,0,0,A59,F360 
N122456S,2328 PAM CIRCLE,MIMMS TRAIL,295099,2269,3,3,1,0,A117,F312 
C117721S,1794 COVINGTON RIDGE,DEVONSHIRE,295000,2200,3,2,1,25,A118,F155 
R117002S,165 Solamere LANE,SOLAMERE,295000,2808,4,2,1,72,A26,F52 
T119035S,161 PRATHERS LAKE DRIVE,THE WOODS AT PRATHERS LAKE,295000,2700,4,3,0,139,A9,F155 
T117802S,1880 ELLINGTON WAY,VILLAGE AT ASHETON LANE,294900,2400,3,2,1,151,A14,F96 
N122533S,1704 Overhill COURT,THE MEADOW AT HIGHLANDS,294612,2327,4,3,0,50,A8,F96 
N116805S,740 COTSWOLD WAY,COTSWOLDS,294500,2712,4,3,1,12,A93,F177 
N117889S,431 PARKERSON'S WAY,PARKERSON'S MILL,293500,2610,4,3,0,29,A39,F360 
R119222S,2317 TUSCANY PLACE,TIVOLI,293000,2572,4,3,0,32,A89,F177 
R115475S,1834 FIRESTONE COURT,CAMDEN RIDGE,293000,2521,4,3,0,92,A24,F177 
R117574S,2515 MIDDLE BROOK LANE,WILLOW CREEK FARMS,292500,3742,4,3,0,144,A119,F39 
N115319S,213 HICKORYWOODS DRIVE,HICKORY WOODS ESTATES,292500,2101,4,2,1,283,A8,F96 
R120841S,703 MCKINLEY AVENUE,BURTON WOODS,292000,2274,5,4,0,2,A120,F96 
R122870S,2424 MIMMS LANE,MIMMS TRAIL,292000,1975,3,2,0,4,A41,F360 
R120566S,1213 FERNDALE DRIVE,CLOVER LEAF,290000,3271,3,3,1,5,A8,F96 
R122546S,600 CROSS CREEK ROAD,WILLOW CREEK FARMS,290000,2854,5,4,0,62,A121,F155 
R119306S,1733 ROANOKE LANE,CAMDEN RIDGE,290000,2551,4,3,0,166,A122,F286 
N121174S,998 W RICHLAND CIRCLE,WEST RICHLAND,290000,2699,4,3,1,173,A123,F529 
R116774S,420 Hare AVENUE,PINEVIEW,290000,1809,3,2,0,293,A8,F96 
N121179S,992 W RICHLAND CIRCLE,WEST RICHLAND,289900,2725,5,3,0,48,A123,F529 
R117845S,916 SEAY CIRCLE,PICKWOOD,289900,2365,4,3,0,62,A55,F39 
N122296S,843 W RICHLAND CIRCLE,WEST RICHLAND,289900,2778,4,2,1,127,A123,F529 
N119023S,758 COTSWOLD WAY,COTSWOLDS,289000,2699,4,3,1,0,A91,F529 
R119141S,2030 MOHICAN DRIVE,PRESERVE,288000,2261,5,3,0,20,A6,F96 
R119118S,1712 MARJORIE COURT,STONE CREEK,288000,2900,5,3,0,76,A124,F177 
R117217S,1568 WHISPER RIDGE ROAD,SOCIETY HILL ESTATES,287000,2494,3,2,0,23,A42,F516 
R122436S,1497 REYNOLDS DRIVE,STONE CREEK,286000,2816,5,3,0,0,A38,F360 
R117544S,3693 HAWTHORNE COURT,MILL CREEK,286000,2510,4,3,1,87,A22,F312 
N115201S,2034 SEQUOIA DRIVE,PRESERVE,285977,2393,3,2,1,141,A53,F96 
R117106S,1001 GARRISON LANE,GROVE HILL,285475,2140,4,3,0,0,A7,F177 
N122294S,838 W RICHLAND CIRCLE,WEST RICHLAND,285088,2778,4,2,1,22,A123,F529 
R117365S,670 Banbury STREET,COTSWOLDS,285000,2787,4,2,1,13,A88,F52 
C122411S,730 W MAGNOLIA AVENUE,EDGE WEST CONDOMINIUMS,285000,1404,4,4,0,32,A36,F19 
R122413S,816 S GAY STREET,RIDGE CREST,285000,1503,3,2,0,34,A24,F177 
R122221S,289 SOLAMERE LANE,SOLAMERE PHASE 3,285000,2430,4,2,1,145,A63,F312 
R119265S,280 SOLAMERE LANE,SOLAMERE PHASE 3,285000,2920,4,3,1,147,A88,F52 
N120636S,822 W RICHLAND CIRCLE,WEST RICHLAND,284900,2712,4,3,1,44,A91,F529 
N114426S,2606 SALFORD STREET,COTSWOLDS,284000,3097,5,3,0,214,A84,F155 
N113602S,2578 SALFORD STREET,COTSWOLDS,283900,2712,4,3,1,283,A93,F177 
R120690S,1455 REYNOLDS DRIVE,STONE CREEK,283750,2900,5,3,0,17,A67,F320 
N116727S,2355 MIMMS LANE,MIMMS TRAIL,283600,2007,3,2,0,152,A125,F52 
R117307S,2684 BENT CREEK ROAD,BENT CREEK,283000,2289,3,2,0,17,A24,F177 
R117782S,3577 NE COBBLESTONE COURT,MILL CREEK,283000,2333,4,2,1,60,A126,F155 
N116660S,728 SHELTON COVE LANE,SHELTON COVE,282900,2485,4,2,1,125,A53,F96 
N114283S,2039 COVEY DRIVE,PRESERVE,281900,2274,4,2,1,177,A53,F96 
N119066S,818 W RICHLAND CIRCLE,WEST RICHLAND,280700,2581,4,2,1,89,A123,F529 
R117702S,422 SEHOY CIRCLE,CARY WOODS,280000,2432,3,2,1,0,A65,F177 
R120682S,1269 TAYLOR COURT,GROVE HILL,280000,2043,4,2,0,17,A127,F177 
R117807S,2034 KEYSTONE DRIVE,CAMDEN RIDGE,280000,2635,4,2,2,219,A76,F155 
N120617S,1873 MOYLE LANE,MORGAN WOODS,279900,2347,4,2,1,3,A91,F529 
N119011S,806 W RICHLAND CIRCLE,WEST RICHLAND,279900,2699,4,3,1,47,A91,F529 
R120814S,1223 NORMAN ROAD,GLEN HAVEN,279500,2698,3,2,1,17,A128,F155 
N120768S,1614 OVERHILL COURT,HIGHLANDS,279200,2687,4,3,0,133,A39,F360 
N121167S,1861 MOYLE LANE,MORGAN WOODS,279051,2186,4,2,1,25,A91,F529 
N117058S,2461 MIMMS LANE,MIMMS TRAIL,278000,1900,3,2,0,199,A29,F177 
N124078S,831 W RICHLAND CIRCLE,WEST RICHLAND,277900,2587,4,2,1,18,A123,F529 
N122388S,673 KINGS WAY,CHARLESTON PLACE,277565,1761,3,2,0,243,A97,F360 
R121154S,520 JASMINE LANE,MOORES MILL,277000,2130,4,2,0,51,A15,F516 
N120873S,2256 TURNBURY LANE,SHELTON COVE,276900,2084,4,2,1,181,A53,F96 
R116576S,1575 Oak Hill COURT,CLOVER LEAF,276000,2563,4,2,1,106,A129,F132 
R122918S,418 SCOTT STREET,AUBURN,275000,1984,3,2,0,3,A55,F39 
R121139S,226 LEE DRIVE,CLOVER LEAF,275000,1920,4,2,0,5,A24,F177 
R117362S,321 SAINT JAMES DRIVE,WRIGHTS MILL ESTATES,275000,2103,4,2,0,7,A24,F177 
R119028S,606 LOCKWOOD STREET,UNIVERSITY ESTATES,275000,2422,4,3,1,47,A48,F155 
R114913S,1254 FELTON LANE,KEEL,275000,1824,3,2,1,165,A29,F177 
N117057S,2453 MIMMS LANE,MIMMS TRAIL,275000,1900,3,2,0,240,A29,F177 
N121180S,988 W RICHLAND CIRCLE,WEST RICHLAND,274900,2778,4,2,1,5,A91,F529 
R117744S,612 CARPENTER WAY,GROVE HILL,274900,2179,4,3,0,8,A114,F360 
N120784S,985 W RICHLAND CIRCLE,WEST RICHLAND,274900,2587,4,2,1,122,A123,F529 
R125404S,2148 KEYSTONE DRIVE,CAMDEN RIDGE,274000,2247,4,3,0,0,A17,F0 
R120608S,2132 CANARY DRIVE,WHIPPOORWILL ESTATES,274000,3052,4,4,0,3,A118,F155 
R120938S,2172 N DONAHUE DRIVE,HIGHLANDS,274000,2553,4,2,1,28,A7,F177 
N115494S,2440 MIMMS LANE,MIMMS TRAIL,274000,1900,3,2,0,214,A29,F177 
N120969S,1189 WEATHERFORD STREET,GROVE HILL,272695,2498,4,3,1,0,A130,F490 
R117722S,2643 MIMMS LANE,MIMMS TRAIL,272000,1837,4,2,0,2,A9,F155 
R121052S,1555 PIEDMONT DRIVE,CAMDEN RIDGE,272000,2502,3,2,1,5,A33,F177 
R118970S,185 BELMONTE DRIVE,MILL CREEK,272000,2654,4,2,1,33,A131,F286 
R123974S,2043 COVEY DRIVE,PRESERVE,272000,2124,5,2,1,49,A53,F96 
R120547S,1068 TERRACE ACRES DRIVE,TERRACE ACRES,271500,2353,4,2,1,24,A75,F177 
N117593S,2385 SNOWSHILL LANE,COTSWOLDS,271371,2682,4,2,1,0,A81,F155 
R121055S,339 JOCKISH STREET,GLEN HAVEN,270700,2283,3,2,1,14,A132,F132 
R119155S,1867 BLUE CREEK LANE,LAUREL GROVE,270000,1906,3,2,0,4,A40,F516 
R117215S,1707 Solamere COURT,SOLAMERE,270000,2605,4,3,1,20,A103,F508 
R117934S,1673 S CAMDEN COURT,CAMDEN RIDGE,270000,2601,4,2,1,109,A48,F155 
R115447S,2130 Richland ROAD,KIRCHLER ESTATES,270000,2520,4,3,0,179,A18,F155 
N115495S,2460 MIMMS LANE,MIMMS TRAIL,270000,1900,3,2,0,221,A29,F177 
R120576S,410 DEER RUN ROAD,WILLOW CREEK FARMS,269900,2367,4,2,0,2,A133,F516 
R117843S,1785 PHILMORE COURT,CAMDEN RIDGE,269900,1871,3,2,1,3,A9,F155 
N119042S,782 COTSWOLD WAY,COTSWOLDS,269900,2587,4,2,1,16,A91,F529 
N119051S,733 COTSWOLD WAY,COTSWOLDS,269900,2587,4,2,1,29,A91,F529 
N120641S,834 W RICHLAND CIRCLE,WEST RICHLAND,269900,2587,4,2,1,83,A123,F529 
R121080S,257 SOLAMERE LANE,SOLAMERE,269900,2450,4,3,1,95,A41,F360 
N119154S,817 W RICHLAND CIRCLE,WEST RICHLAND,269900,2587,4,2,1,128,A123,F529 
N117920S,2340 SNOWSHILL LANE,COTSWOLDS,269657,2614,4,3,0,0,A81,F155 
N116934S,1573 NORTH CAMDEN DRIVE,DONAHUE RIDGE,269395,2807,4,3,1,87,A99,F96 
R122875S,130 BENWOOD CIRCLE,WILLOW CREEK FARMS,268500,2386,4,2,5,3,A134,F155 
R121007S,1108 FELTON LANE,ETHERIDGE,268500,1758,3,2,0,14,A132,F132 
R122659S,1544 TAL HEIM STREET,TAL HEIM ACRES,268000,2600,3,2,0,0,A17,F0 
R117097S,436 FRONTIER CIRCLE,SOLAMERE,268000,2975,4,2,1,29,A135,F177 
R119246S,1466 REYNOLDS DRIVE,STONE CREEK,268000,2399,4,3,1,51,A4,F312 
R120817S,1792 TRAIL RIDGE ROAD,CAMDEN RIDGE,268000,2414,4,2,1,126,A136,F96 
N119416S,813 W RICHLAND CIRCLE,WEST RICHLAND,268000,2347,4,2,1,203,A123,F529 
P120886S,2400 SNOWSHILL LANE,COTSWOLDS,267318,2682,4,2,1,0,A84,F155 
N117048S,699 SHELTON COVE LANE,SHELTON COVE,267081,2319,4,3,0,0,A53,F96 
R117288S,1962 SAINT CHARLES COURT,WRIGHTS MILL ESTATES,267000,2183,4,3,0,3,A24,F177 
R119211S,331 BEEHIVE ROAD,METES & BOUNDS,267000,2229,3,2,1,29,A14,F96 
